,BOOK_ID,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,WRITTEN_AS,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE,CLEAN?,SUBSET
617,3090,00003090.txt,34,The white sister,Crawford,F. Marion,A_00778,,New York,Grosset & Dunlap,1909,g,American,ROM,,NOVL
619,3095,00003095.txt,64,Higgins: a man's Christian,Duncan,Norman,A_01014,,New York/London,Harper & Bros.,1909,g,American,,,NOVL
620,3100,00003100.txt,33,Jason,Forman,Justus Miles,A_01223,,New York/London,Harper & Bros.,1909,g,American,,,SENT
629,3122,00003122.txt,250,Options,Henry,O.,A_01630,,New York/London,Harper & Bros.,1909,g,American,,,PARG
632,3142,00003142.txt,39,The king of Arcadia,Lynde,Francis,A_02161,,New York,Charles Scribner's Sons,1909,g,American,,,CTRL
636,3156,00003156.txt,28,Toby Tyler,Otis,James,A_02623,,New York,Harper & Bros.,1909,g,American,,,CTRL
638,3166,00003166.txt,32,The title market,Post,Emily,A_02781,,New York,"""Dodd, Mead & Co.""",1909,g,American,,,PARG
640,3170,00003170.txt,92,The man in lower ten,Rinehart,Mary Roberts,A_02912,,New York,Review of Reviews,1909,g,American,,,SENT
642,3173,00003173.txt,201,The flute of the gods,Ryan,Marah Ellis,A_03000,,New York,Frederick A. Stokes Co.,1909,g,American,,,CTRL
645,3185,00003185.txt,494,A certain rich man,White,William Allen,A_03606,,New York,Macmillan Co.,1909,g,American,,,SENT
653,3212,00003212.txt,63,A modern chronicle,Churchill,Winston,A_00649,,New York,Grosset & Dunlap,1910,g,American,,,CTRL
657,3217,00003217.txt,281,Once upon a time,Davis,Richard Harding,A_00876,,New York,Charles Scribner's Sons,1910,g,American,,,SENT
658,3218,00003218.txt,134,The scarlet car,Davis,Richard Harding,A_00876,,New York,Charles Scribner's Sons,1910,g,American,,,PARG
663,3238,00003238.txt,282,The Heritage of the desert,Grey,Zane,A_01462,,New York,Grosset & Dunlap,1910,g,American,,,SENT
666,3246,00003246.txt,193,Whirligigs,Henry,O.,A_01630,,Garden City/N.Y.,George H. Doran Co.,1910,g,American,,,NOVL
668,3251,00003251.txt,132,The purchase price,Hough,Emerson,A_01701,,Indianapolis,Bobbs-Merrill Co.,1910,g,American,,,SENT
669,3255,00003255.txt,296,The finer grain,James,Henry,A_01780,,New York,Charles Scribner's Sons,1910,g,American,,c,CTRL
672,3264,00003264.txt,57,The freebooters of the wilderness,Laut,Agnes C.,A_02000,,New York,"""Moffat, Yard & Co.""",1910,g,American,,,NOVL
673,3267,00003267.txt,59,The depot master,Lincoln,Joseph Crosby,A_02079,,New York/London,D. Appleton & Co.,1910,g,American,,,PARG
674,3269,00003269.txt,148,Burning Daylight,London,Jack,A_02113,,New York,Grosset & Dunlap,1910,g,American,,c,NOVL
675,3270,00003270.txt,44,Lost Face,London,Jack,A_02113,,New York,Regent Press,1910,g,American,,c,PARG
679,3279,00003279.txt,50,Si Klegg,McElroy,John,A_02328,,Washington/D.C.,National tribune Co.,1910,g,American,,,PARG
680,3285,00003285.txt,88,Hopalong Cassidy,Mulford,Clarence Edward,A_02499,,New York,Grosset & Dunlap,1910,g,American,,,NOVL
681,3287,00003287.txt,107,The siege of the seven suitors,Nicholson,Meredith,A_02554,,Boston/New York,Houghton Mifflin Co.,1910,g,American,,,CTRL
683,3293,00003293.txt,27,The pony rider boys in Texas,Patchin,Frank Gee,A_02663,,Philadelphia,H. Altemus,1910,g,American,,,SENT
685,3299,00003299.txt,142,Master of the vineyard,Reed,Myrtle,A_02865,,New York,G.P. Putnam's Sons,1910,g,American,,,CTRL
691,3329,00003329.txt,50,The story of a bad boy,Aldrich,Thomas Bailey,A_00034,,Boston/New York,Houghton Mifflin Co.,1911,g,American,,,NOVL
693,3331,00003331.txt,247,Keeping up with Lizzie,Bacheller,Irving,A_00117,,New York/London,Harper & Bros.,1911,g,American,,,CTRL
699,3346,00003346.txt,100,The honor of the big snows,Curwood,James Oliver,A_00821,,New York,A.L. Burt Co.,1911,g,American,,,CTRL
704,3352,00003352.txt,218,Jennie Gerhardt,Dreiser,Theodore,A_00996,,New York/London,Harper & Bros.,1911,g,American,,c,NOVL
705,3354,00003354.txt,38,At good old Siwash,Fitch,George,A_01176,,New York,Grosset & Dunlap,1911,g,American,,,NOVL
707,3356,00003356.txt,34,Torchy,Ford,Sewell,A_01220,,New York,Grosset & Dunlap,1911,g,American,,,SENT
708,3362,00003362.txt,397,The miller of Old Church,Glasgow,Ellen Anderson Gholson,A_01372,,Garden City/New York,"""Doubleday, Page & Co.""",1911,g,American,,,PARG
713,3378,00003378.txt,171,The prodigal judge,Kester,Vaughan,A_01899,,Indianapolis,Bobbs-Merrill Co.,1911,g,American,,,PARG
714,3381,00003381.txt,54,Adventure,London,Jack,A_02113,,New York,Regent Press,1911,g,American,,c,SENT
715,3382,00003382.txt,49,The strength of the strong,London,Jack,A_02113,,Chicago,C.H. Kerr,1911,g,American,,c,PARG
724,3418,00003418.txt,29,The high calling,Sheldon,Charles M.,A_03102,,New York,George H. Doran Co.,1911,g,American,,,CTRL
725,3420,00003420.txt,248,Kennedy Square,Smith,Francis Hopkinson,A_03173,,New York,Charles Scribner's Sons,1911,g,American,,,SENT
727,3427,00003427.txt,43,An American suffragette,Stevens,Isaac Newton,A_03259,,New York,William Rickey & Co.,1911,g,American,,,CTRL
731,3443,00003443.txt,76,Robinetta,Wiggin,Kate Douglas Smith,A_03620,,Boston/New York,Houghton Mifflin Co.,1911,g,American,,,SENT
732,3444,00003444.txt,217,Padre Ignacio: or: The song of temptation,Wister,Owen,A_03681,,New York/London,Harper & Bros.,1911,g,American,,c,PARG
733,3447,00003447.txt,194,Knocking the neighbors,Ade,George,A_00021,,Garden City/N.Y.,"""Doubleday, Page & Co.""",1912,g,American,,,PARG
739,3467,00003467.txt,38,Five thousand an hour,Chester,George Randolph,A_00636,,New York,Syndicate Pub. Co.,1912,g,American,,,NOVL
743,3475,00003475.txt,116,The Red Cross girl,Davis,Richard Harding,A_00876,,New York,Charles Scribner's Sons,1912,g,American,,,CTRL
746,3486,00003486.txt,98,The Yates pride,Freeman,Mary Eleanor Wilkins,A_01254,,New York/London,Harper & Bros.,1912,g,American,,c,CTRL
748,3489,00003489.txt,52,Elkan Lubliner,Glass,Montague,A_01374,,Garden City/N.Y.,"""Doubleday, Page & Co.""",1912,g,American,,,NOVL
750,3497,00003497.txt,56,The mystery of Mary,Hill,Grace Livingston,A_01654,,New York,Grosset & Dunlop,1912,g,American,,,PARG
752,3504,00003504.txt,72,The autobiography of an ex-colored man,Johnson,James Weldon,A_01817,,Boston,"""Sherman, French & Co.""",1912,g,American,,c,NOVL
759,3519,00003519.txt,47,The place of honeymoons,MacGrath,Harold,A_02179,,Indianapolis,Bobbs-Merrill Co.,1912,g,American,,,CTRL
760,3521,00003521.txt,58,The touchstone of fortune,Major,Charles,A_02211,,New York,Macmillan Co.,1912,g,American,,,SENT
762,3531,00003531.txt,60,The wind before the dawn,Munger,Dell H.,A_02506,,Garden City/New York,"""Doubleday, Page & Co.""",1912,g,American,,,SENT
766,3537,00003537.txt,63,Molly McDonald,Parrish,Randall,A_02656,,Chicago,A.C. McClurg & Co.,1912,g,American,,,NOVL
769,3545,00003545.txt,38,Where there's a will,Rinehart,Mary Roberts,A_02912,,Indianapolis,Bobbs-Merrill,1912,g,American,,,SENT
772,3553,00003553.txt,1,Counsel for the defense,Scott,Leroy,A_03069,,Garden City,"""Doubleday, Page & Co.""",1912,g,American,,,SENT
773,3554,00003554.txt,31,The coming of the law,Seltzer,Charles Alden,A_03080,,New York,A.L. Burt Co.,1912,g,American,,,PARG
775,3562,00003562.txt,29,The destroying angel,Vance,Louis Joseph,A_03463,,Boston,"""Little, Brown, & Co.""",1912,g,American,,,CTRL
777,3571,00003571.txt,58,The white linen nurse,Abbott,Eleanor Hallowell,A_00004,,New York,Century Co.,1913,g,American,,,NOVL
779,3577,00003577.txt,111,Seven keys to Baldpate,Biggers,Earl Derr,A_00282,,New York,Grosset & Dunlap,1913,g,American,,,CTRL
781,3586,00003586.txt,147,The return of Tarzan,Burroughs,Edgar Rice,A_00493,,New York,Ballantine Books,1913,g,American,FANT,c,CTRL
782,3591,00003591.txt,46,The gay rebellion,Chambers,Robert W.,A_00604,,New York/London,D. Appleton & Co.,1913,g,American,,,SENT
784,3596,00003596.txt,56,Andrew the Glad,Daviess,Maria Thompson,A_00859,,Indianapolis,,1913,g,American,,,NOVL
792,3611,00003611.txt,38,Virginia,Glasgow,Ellen Anderson Gholson,A_01372,,New York/N.Y.,. : Grosset & Dunlap,1913,g,American,,,CTRL
795,3619,00003619.txt,47,Lo: Michael!,Hill,Grace Livingston,A_01654,,New York,Grosset & Dunlap,1913,g,American,,,SENT
796,3620,00003620.txt,88,Samantha on the woman question,Holley,Marietta,A_01680,,Chicago/New York,. : Fleming H. Revell Co.,1913,g,American,,,NOVL
797,3621,00003621.txt,25,Pages from an old volume of life,Holmes,Oliver Wendell,A_01682,,Boston/New York,Houghton Mifflin Co.,1913,g,American,,,NOVL
798,3623,00003623.txt,26,The young Alaskans in the Rockies,Hough,Emerson,A_01701,,New York,Harper & Bros.,1913,g,American,,,SENT
801,3645,00003645.txt,90,A fool and his money,McCutcheon,George Barr,A_02321,,New York,"""Dodd, Mead & Co.""",1913,g,American,,,PARG
802,3648,00003648.txt,47,If you touch them they vanish,Morris,Gouverneur,A_02480,,New York,Charles Scribner's Sons,1913,g,American,,,PARG
803,3650,00003650.txt,30,The heart of the desert,McCue,Nora Bryant,A_02318,1.0,New York,Burt,1913,g,American,,,PARG
804,3653,00003653.txt,107,Otherwise Phyllis,Nicholson,Meredith,A_02554,,Boston/New York,Houghton Mifflin Co.,1913,g,American,,,SENT
805,3658,00003658.txt,272,Pollyanna,Porter,Eleanor H.,A_02774,,Boston,L.C. Page & Co.,1913,g,American,,,CTRL
806,3681,00003681.txt,826,The custom of the country,Wharton,Edith,A_03582,,New York,Charles Scribner's Sons,1913,g,American,,c,PARG
