BOOK_ID,PUBL_DATE,SUBSET,P(INIT)_INIT,P(INIT)_FINAL
20629,1965,NOVL,0,0
20632,1965,SENT,0,1
20643,1965,SENT,0,1
20644,1965,SENT,0,1
20645,1965,PARG,0,1
20646,1965,NOVL,0,1
20648,1965,PARG,0,1
20657,1965,PARG,0,0
20662,1965,NOVL,1,1
20667,1965,SENT,0,1
20671,1966,SENT,0,1
20674,1966,PARG,0,1
20681,1966,PARG,1,1
20688,1966,SENT,0,1
20705,1966,SENT,0,1
20706,1966,NOVL,0,1
20707,1966,SENT,0,1
20709,1966,NOVL,1,1
20713,1966,PARG,0,0
20715,1966,NOVL,0,1
20718,1966,NOVL,0,1
20719,1966,PARG,0,1
20728,1967,NOVL,0,1
20735,1967,SENT,0,1
20741,1967,SENT,0,1
20742,1967,PARG,0,1
20745,1967,SENT,0,1
20747,1967,SENT,0,1
20762,1967,PARG,0,1
20763,1967,NOVL,1,1
20764,1967,PARG,0,1
20767,1967,NOVL,0,0
20771,1968,NOVL,0,0
20774,1968,PARG,0,1
20775,1968,PARG,0,1
20776,1968,SENT,0,1
20779,1968,PARG,0,1
20780,1968,SENT,0,1
20785,1968,NOVL,1,1
20787,1968,PARG,0,0
20788,1968,SENT,0,1
20794,1968,NOVL,0,1
20807,1968,NOVL,0,1
20812,1969,NOVL,0,1
20819,1969,SENT,0,1
20830,1969,PARG,0,1
20832,1969,NOVL,0,1
20833,1969,NOVL,1,1
20835,1969,SENT,0,1
20853,1969,PARG,0,1
20857,1969,SENT,0,1
20859,1969,NOVL,1,1
20861,1969,PARG,1,1
20870,1970,SENT,0,1
20878,1970,PARG,0,1
20887,1970,NOVL,1,1
20891,1970,PARG,0,1
20894,1970,SENT,0,1
20899,1970,NOVL,1,1
20906,1970,SENT,0,1
20907,1970,PARG,0,1
20911,1970,NOVL,0,1
20914,1970,NOVL,0,1
20927,1970,PARG,0,0
20928,1970,SENT,0,1
20934,1971,PARG,0,1
20952,1971,NOVL,1,1
20954,1971,SENT,0,1
20955,1971,PARG,1,1
20957,1971,SENT,0,1
20963,1971,NOVL,0,0
20969,1971,SENT,0,1
20978,1971,PARG,0,1
20979,1971,PARG,0,1
20986,1971,NOVL,1,1
20987,1971,NOVL,1,1
21000,1971,SENT,0,1
21004,1972,PARG,0,1
21030,1972,NOVL,1,1
21033,1972,SENT,0,1
